Name,geo_loc
chicago West Loop,"(41.8816094, -87.6294574)"
chicago Gold Coast / Streeterville,"(41.899607149999994, -87.6248798647693)"
chicago Goose Island,"(41.9039703, -87.65374752593115)"
chicago Lincoln Park,"(41.9399447, -87.63611961353928)"
chicago Bucktown / Wicker Park,
chicago River North (Chicago),"(41.89875925, -87.64059524937264)"
chicago Greektown,"(41.8784447, -87.6469318)"
chicago Downtown / Loop,"(44.5076427, -88.014611)"
chicago Ukrainian Village,"(41.8963523, -87.6847499)"
"chicago Chicago, IL","(41.8964706, -87.6357194)"
chicago West Town,"(41.9014213, -87.6861661)"
chicago Old Town,"(41.8961978, -87.6553579)"
chicago Near North,"(41.8586566, -87.6121985)"
chicago Chicago,"(41.8964706, -87.6357194)"
chicago Lakeview / East Lakeview,"(41.933066100000005, -87.66796910100126)"
chicago Little Italy / University Village,
chicago Wrigleyville,"(41.947022, -87.6564773)"
chicago Lakeshore East,"(30.245236, -89.430819)"
chicago South Loop,"(41.8617846, -87.6261213)"
chicago Roscoe Village,"(41.9434029, -87.6791415)"
chicago Pilsen,"(41.8575329, -87.6575528)"
chicago Avondale / Irving Park,"(41.9528048, -87.7304356)"
"chicago Chicago, AL","(41.4947827, -87.6387047)"
"chicago chicago, IL","(41.8964706, -87.6357194)"
chicago nan,"(41.8755616, -87.6244212)"
"chicago Illinois, AL","(41.4947827, -87.6387047)"
chicago Edison Park,"(42.006113049999996, -87.81399192074326)"
chicago Uptown,"(41.9666299, -87.6555458)"
chicago Bridgeport,"(41.8379385, -87.651028)"
chicago Lincoln Square,"(41.975989850000005, -87.6896163305115)"
chicago Andersonville,"(41.9771393, -87.66927341557962)"
chicago Edgewater,"(41.9833689, -87.6639516)"
chicago Hyde Park,"(41.7944464, -87.5939244)"
"chicago Melrose Park, IL",
"chicago Gurnee, IL",
"chicago Elmwood Park, IL","(46.2275721, -88.9320193)"
"chicago Evanston, IL","(42.048102, -87.67928395298365)"
"chicago Harwood Heights, IL","(41.96874615, -87.78405954504055)"
"chicago Lincolnwood, IL","(42.0113531, -87.7398004)"
"chicago Skokie, IL","(42.3046025, -87.871305)"
"chicago Maywood, IL","(41.8936879, -87.8339689)"
"chicago Bedford Park, IL","(41.7195909, -87.9053318)"
"chicago East Chicago, IN","(41.6116301, -87.4789776)"
